species,N[m^-3],Tperp[eV],Tpara[eV],charge,mass,injection number (by CCMC(ionosphere, height=500km, Longitude=0, Latitude=69.7469863, year=2000, DOY=336)) H+He+を1の1/200
N:H+,2.2581d6,1.285d-1,1.285d-1,1.d0,1.67262189821d-27,501
N:He+,2.2581d6,1.285d-1,1.285d-1,1.d0,6.64556638280897d-27,501
N:N+,4.36566d9,1.285d-1,1.285d-1,1.d0,2.325779481662744d-26,501
N:O+,1.461698238d11,1.285d-1,1.285d-1,1.d0,2.656676762004189d-26,501
N:e-,1.5054d11,1.4635d-1,1.4635d-1,-1.d0,9.1093837015d-31,501
S:H+,2.2581d6,1.285d-1,1.285d-1,1.d0,1.67262189821d-27,1
S:He+,2.2581d6,1.285d-1,1.285d-1,1.d0,6.64556638280897d-27,1
S:N+,4.36566d9,1.285d-1,1.285d-1,1.d0,2.325779481662744d-26,1
S:O+,1.461698238d11,1.285d-1,1.285d-1,1.d0,2.656676762004189d-26,1
S:e-,1.5054d11,1.4635d-1,1.4635d-1,-1.d0,9.1093837015d-31,1
eq:H+,2.d7,1.d3,1.d3,1.d0,1.67262189821d-27,251
eq:e-,2.d7,1.d2,1.d2,-1.d0,9.1093837015d-31,251