species,N[m^-3],Tperp[eV],Tpara[eV],charge,mass,injection number (Matsuda 2009を参考に)
JN:H+,3.d10,1.d-1,1.d-1,1.d0,1.67262192369d-27,233
JN:e-,3.d10,1.d-1,1.d-1,-1.d0,9.1093837015d-31,233
JS:H+,3.d10,1.d-1,1.d-1,1.d0,1.67262192369d-27,1
JS:e-,3.d10,1.d-1,1.d-1,-1.d0,9.1093837015d-31,1
Io:H+,5.8d7,8.6d0,8.6d0,1.d0,1.67262192369d-27,117
Io:O+,1.163d9,5.d1,5.d1,1.d0,2.677950266103d-26,117
Io:S+,2.91d8,5.d1,5.d1,1.d0,5.355991626103d-26,117
Io:S2+,4.94d8,5.d1,5.d1,2.d0,5.355900532206d-26,117
Io:cold:e-,2.498d9,5.d0,5.d0,-1.d0,9.1093837015d-31,117
Io:hot:e-,2.d6,2.d2,2.d2,-1.d0,9.1093837015d-31,117